Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1,M015,P.S. 15 - MANHATTAN,SCA IEH,PO18-SOME AREAS WERE IDENTIFIED DURING THE AHERA PERIODIC SURVEILLANCE AS RESPONSE ACTIONS DUE TO OB,Construction,In-Progress,7/31/2025,IEH,,IEH,750,0,SCA0000074540
1,M015,P.S. 15 - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,In-Progress,6/28/2024,DOER,,DOER,206654,0,DSF0001086173
1,M015,P.S. 15 - MANHATTAN,DOE - Skilled Trades,SCHOOLYARD RESURFACING,Construction,In-Progress,2/19/2024,DOES,,DOES,814540,0,DSF0001017369
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,4/13/2021,9/13/2021,7/1/2021,68660,80733,80733,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,7/6/2021,12/7/2021,11/29/2021,343300,402119,350472,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,7/18/2022,7/16/2024,,7724250,7222230,6156853,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,7/18/2022,7/16/2024,,480620,263617,263617,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/22/2023,10/23/2023,7/6/2023,4240,2631,2631,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/6/2023,1/3/2024,12/13/2023,19080,10525,10525,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,Complete,5/27/2024,5/26/2025,5/12/2025,245920,220616,201700,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",Complete,5/27/2024,5/26/2025,5/12/2025,173602,156315,83786,DSF0001035045
1,M019,P.S. 315 - MANHATTAN,SCA IEH,PO18-SECOND FLOOR STAIRCASE ABATE 6 SQ. FT. MISSING FLOOR TILES - ROOM 217 ABATE 4 SQ. FT. MISSING F,Construction,Complete,3/14/2025,IEH,9/13/2025,IEH,19236,625,SCA0000074064
1,M019,P.S. 315 - MANHATTAN,SCA IEH,PO18-FOLLOWING AREAS HAVE BEEN IDENTIFIED DURING THE AHERA PERIODIC SURVEILLANCE  AS REQUIRING RESPO,Construction,In-Progress,6/4/2025,IEH,,IEH,750,0,SCA0000074344
1,M019,P.S. 19 - MANHATTAN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,Complete,12/23/2024,DOER,4/25/2025,DOER,141466,94435,DSF0001035064
1,M019,P.S. 315 - MANHATTAN,DOE - RESOA,FY24 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,65000,0,DSF0001086175
1,M020,P.S. 20 - MANHATTAN,Fast Track Projects,IPDVS INSTALLATIONS,Construction,In-Progress,12/27/2024,FTK,,FTK,16708,2799,DSF0001087468
1,M020,P.S. 20 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,7/7/2021,DOES,,DOES,195021,0,DSF0001008690
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,4/22/2021,9/7/2021,12/21/2021,195550,194643,192048,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,12/22/2021,6/10/2022,9/16/2022,977750,623331,511359,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,In-Progress,8/7/2023,8/5/2025,,21999375,21624110,17375556,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",In-Progress,8/7/2023,8/5/2025,,1427780,722076,574778,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Scope,In-Progress,3/5/2024,6/3/2024,,0,7108,1343,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,6000,5372,5372,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,88000,264000,1128,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,6000,18000,4181,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA IEH,PO18-ABATE PIPE INSULATION IN VARIOUS AREAS DUE TO DAMAGE PIPES C82 (SPACE ID: 1600) APPROX. 20 LINE,Construction,In-Progress,6/17/2025,IEH,,IEH,750,0,SCA0000074369
1,M022,NEW EXPLORATIONS - M,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,4/14/2023,DIIR,,DIIR,50000,0,DSF0001033717
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY21 RESO A BATHROOM UPGRADES,Construction,In-Progress,8/6/2021,DOER,,DOER,80736,0,DSF0000961298
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY25 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,265000,0,DSF0001112760
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/25/2020,10/26/2020,7/21/2020,3482,4450,4450,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/21/2020,1/15/2021,3/30/2021,15667,17800,17800,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/24/2022,3/19/2023,,201929,188076,161379,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/24/2022,3/19/2023,,234139,264692,258564,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA IEH,PO18-SOME AREAS WERE IDENTIFIED DURING THE AHERA PERIODIC SURVEILLANCE AS RESPONSE ACTION DUE TO OBS,Construction,In-Progress,8/5/2025,IEH,,IEH,750,0,SCA0000074570
1,M025,LOWER EAST SIDE PREP HS - M,SCA IEH,"PO18-ABATEMENT  IN THE FOLLOWING LOCATIONS: ROOM 232- FLOOR (SPACE ID# 3232), ROOM 243 - FLOOR  (SPA",Construction,In-Progress,9/2/2025,IEH,,IEH,750,0,SCA0000074868
1,M025,I.S. 378 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,3/22/2024,DOES,,DOES,593902,0,DSF0001085731
1,M034,P.S. 34 - MANHATTAN,SCA CIP RESOA,RESO A AUDITORIUM UPGRADE,Scope,Complete,4/4/2025,8/6/2025,8/19/2025,0,32962,4935,DSF0001114011
1,M034,P.S. 34 - MANHATTAN,SCA CIP RESOA,RESO A AUDITORIUM UPGRADE,Design,In-Progress,9/2/2025,2/5/2026,,90000,57038,6739,DSF0001114011
1,M034,P.S. 34 - MANHATTAN,SCA CIP RESOA,RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,1320000,1320000,0,DSF0001114011
1,M034,P.S. 34 - MANHATTAN,SCA CIP RESOA,RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,90000,90000,11636,DSF0001114011
1,M034,P.S. 34 - MANHATTAN,SCA IEH,PO18-ABATEMENT OF STORM DRAIN LINE PIPE INSULATION IN BACK OF THE AUDITORIUM 1ST FL: STORAGE ROOM BE,Construction,Complete,4/7/2025,IEH,8/20/2025,IEH,5473,230,SCA0000074115
1,M034,P.S. 34 - MANHATTAN,SCA Furniture & Equipment,FY20 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,140000,140000,0,DSF0000913873
1,M034,P.S. 34 - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000,0,DSF0001007798
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,12/1/2022,DOER,,DOER,34574,0,DSF0001007800
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY23 RESO A ROOM CONVERSION,Construction,In-Progress,3/15/2024,DOER,,DOER,103169,0,DSF0001035626
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,500000,0,DSF0001114012
1,M034,P.S. 34 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,11/6/2024,DOES,11/18/2024,DOES,65832,15953,DSF0001084623
